device,suite,provider,layout,mode,batch,seq,hidden,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,bf16,tanh,0.137473,98.250
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,bf16,tanh,0.310805,164.250
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,bf16,tanh,0.084556,65.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,bf16,tanh,0.066714,75.750
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,bf16,tanh,0.315649,86.500
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,512,11008,bf16,tanh,0.081332,65.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,512,11008,bf16,tanh,0.075012,97.250
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,512,11008,bf16,tanh,0.381567,108.000
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,512,11008,bf16,tanh,0.172791,98.250
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,512,11008,bf16,tanh,0.409886,164.250
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,512,11008,bf16,tanh,0.084694,65.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,512,11008,bf16,tanh,0.063789,76.250
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,512,11008,bf16,tanh,0.335615,87.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,512,11008,bf16,tanh,0.083957,65.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,512,11008,bf16,tanh,0.072804,98.250
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,512,11008,bf16,tanh,0.356550,109.000
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,512,11008,bf16,tanh,0.086839,65.000
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,512,11008,bf16,tanh,0.352169,86.500
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,2048,11008,bf16,tanh,0.849082,774.000
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,2048,11008,bf16,tanh,1.913896,1290.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,2048,11008,bf16,tanh,0.212996,516.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,2048,11008,bf16,tanh,0.294909,602.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,2048,11008,bf16,tanh,0.500223,688.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,2048,11008,bf16,tanh,0.210822,516.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,2048,11008,bf16,tanh,0.297016,774.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,2048,11008,bf16,tanh,0.520607,860.000
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,2048,11008,bf16,tanh,0.923057,774.000
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,2048,11008,bf16,tanh,2.404680,1290.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,2048,11008,bf16,tanh,0.213046,516.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,2048,11008,bf16,tanh,0.293738,602.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,bf16,tanh,0.489697,688.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,2048,11008,bf16,tanh,0.211790,516.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,2048,11008,bf16,tanh,0.294132,774.000
