device,suite,provider,layout,mode,batch,seq,hidden,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,smoke,torch,separate,forward,2,128,1024,bf16,tanh,0.062470,4.500
NVIDIA A100-SXM4-80GB,smoke,torch,separate,full,2,128,1024,bf16,tanh,0.245302,7.500
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,forward,2,128,1024,bf16,tanh,0.095265,3.000
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,backward,2,128,1024,bf16,tanh,0.055901,3.500
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,full,2,128,1024,bf16,tanh,0.365188,4.000
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,forward,2,128,1024,bf16,tanh,0.084557,3.000
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,backward,2,128,1024,bf16,tanh,0.066645,4.500
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,full,2,128,1024,bf16,tanh,0.403245,5.000
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,forward,2,128,1024,bf16,tanh,0.083402,4.500
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,full,2,128,1024,bf16,tanh,0.274351,7.500
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,forward,2,128,1024,bf16,tanh,0.087027,3.000
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,backward,2,128,1024,bf16,tanh,0.050593,3.500
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,full,2,128,1024,bf16,tanh,0.362193,4.000
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,forward,2,128,1024,bf16,tanh,0.083749,3.000
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,backward,2,128,1024,bf16,tanh,0.060682,4.500
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,full,2,128,1024,bf16,tanh,0.289648,5.000
NVIDIA A100-SXM4-80GB,smoke,liger,separate,forward,2,128,1024,bf16,tanh,0.083025,3.000
NVIDIA A100-SXM4-80GB,smoke,liger,separate,full,2,128,1024,bf16,tanh,0.341941,4.000
NVIDIA A100-SXM4-80GB,smoke,torch,separate,forward,1,256,11008,bf16,tanh,0.078491,48.375
NVIDIA A100-SXM4-80GB,smoke,torch,separate,full,1,256,11008,bf16,tanh,0.316317,80.625
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,forward,1,256,11008,bf16,tanh,0.090551,32.250
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,backward,1,256,11008,bf16,tanh,0.060891,37.625
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,full,1,256,11008,bf16,tanh,0.369807,43.000
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,forward,1,256,11008,bf16,tanh,0.086038,32.250
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,backward,1,256,11008,bf16,tanh,0.065752,48.375
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,full,1,256,11008,bf16,tanh,0.389917,53.750
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,forward,1,256,11008,bf16,tanh,0.103430,48.375
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,full,1,256,11008,bf16,tanh,0.365039,80.625
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,forward,1,256,11008,bf16,tanh,0.098548,32.250
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,backward,1,256,11008,bf16,tanh,0.058338,37.625
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,full,1,256,11008,bf16,tanh,0.226054,43.000
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,forward,1,256,11008,bf16,tanh,0.085825,32.250
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,backward,1,256,11008,bf16,tanh,0.063167,48.375
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,full,1,256,11008,bf16,tanh,0.251363,53.750
NVIDIA A100-SXM4-80GB,smoke,liger,separate,forward,1,256,11008,bf16,tanh,0.094816,32.250
NVIDIA A100-SXM4-80GB,smoke,liger,separate,full,1,256,11008,bf16,tanh,0.323798,43.000
NVIDIA A100-SXM4-80GB,smoke,torch,separate,forward,2,7,11009,bf16,tanh,0.062438,2.648
NVIDIA A100-SXM4-80GB,smoke,torch,separate,full,2,7,11009,bf16,tanh,0.288168,4.415
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,forward,2,7,11009,bf16,tanh,0.093683,1.766
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,backward,2,7,11009,bf16,tanh,0.057511,2.061
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,full,2,7,11009,bf16,tanh,0.367410,2.355
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,forward,2,7,11009,bf16,tanh,0.086590,1.766
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,backward,2,7,11009,bf16,tanh,0.066038,2.649
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,full,2,7,11009,bf16,tanh,0.406321,2.944
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,forward,2,7,11009,bf16,tanh,0.086294,2.648
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,full,2,7,11009,bf16,tanh,0.355993,4.414
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,forward,2,7,11009,bf16,tanh,0.086362,1.766
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,backward,2,7,11009,bf16,tanh,0.060842,2.060
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,full,2,7,11009,bf16,tanh,0.396581,2.354
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,forward,2,7,11009,bf16,tanh,0.090124,1.766
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,backward,2,7,11009,bf16,tanh,0.062133,2.648
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,full,2,7,11009,bf16,tanh,0.332195,2.943
NVIDIA A100-SXM4-80GB,smoke,liger,separate,forward,2,7,11009,bf16,tanh,0.088131,1.766
NVIDIA A100-SXM4-80GB,smoke,liger,separate,full,2,7,11009,bf16,tanh,0.322836,2.355
NVIDIA A100-SXM4-80GB,smoke,torch,separate,forward,1,4,65537,bf16,tanh,0.062054,4.503
NVIDIA A100-SXM4-80GB,smoke,torch,separate,full,1,4,65537,bf16,tanh,0.276645,7.505
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,forward,1,4,65537,bf16,tanh,0.084872,3.002
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,backward,1,4,65537,bf16,tanh,0.058542,3.503
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,full,1,4,65537,bf16,tanh,0.322309,4.003
