device,suite,provider,mode,batch,seq,hidden,intermediate,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,a100,separate_torch,gateup_forward,1,512,4096,11008,bf16,tanh,0.662091,521.375
NVIDIA A100-SXM4-80GB,a100,separate_torch,gateup_full,1,512,4096,11008,bf16,tanh,1.817344,928.500
NVIDIA A100-SXM4-80GB,a100,separate_torch,mlp_forward,1,512,4096,11008,bf16,tanh,0.909538,529.500
NVIDIA A100-SXM4-80GB,a100,separate_torch,mlp_full,1,512,4096,11008,bf16,tanh,2.154128,1007.750
NVIDIA A100-SXM4-80GB,a100,separate_forge,gateup_forward,1,512,4096,11008,bf16,tanh,0.466780,497.250
NVIDIA A100-SXM4-80GB,a100,separate_forge,gateup_full,1,512,4096,11008,bf16,tanh,1.365338,928.500
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_forward,1,512,4096,11008,bf16,tanh,0.663753,497.250
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_full,1,512,4096,11008,bf16,tanh,2.011660,1007.750
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_forward,1,512,4096,11008,bf16,tanh,0.577234,530.000
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_full,1,512,4096,11008,bf16,tanh,1.539390,935.250
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_forward,1,512,4096,11008,bf16,tanh,0.760729,530.000
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_full,1,512,4096,11008,bf16,tanh,2.178574,1014.500
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_forward,1,512,4096,11008,bf16,tanh,0.472294,497.250
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_full,1,512,4096,11008,bf16,tanh,1.263852,935.250
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_forward,1,512,4096,11008,bf16,tanh,0.675630,497.250
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_full,1,512,4096,11008,bf16,tanh,1.907488,1014.500
NVIDIA A100-SXM4-80GB,a100,liger,gateup_forward,1,512,4096,11008,bf16,tanh,0.498153,497.250
NVIDIA A100-SXM4-80GB,a100,liger,gateup_full,1,512,4096,11008,bf16,tanh,1.336934,928.500
NVIDIA A100-SXM4-80GB,a100,liger,mlp_forward,1,512,4096,11008,bf16,tanh,0.684304,497.250
NVIDIA A100-SXM4-80GB,a100,liger,mlp_full,1,512,4096,11008,bf16,tanh,1.989374,1007.750
