device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,bf16,1.0,1.0,0.170936,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,bf16,1.0,1.0,0.393094,163.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,bf16,1.0,1.0,0.087603,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,bf16,1.0,1.0,0.068702,75.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,bf16,1.0,1.0,0.348531,86.500,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,512,11008,bf16,1.0,1.0,0.089392,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,512,11008,bf16,1.0,1.0,0.080339,97.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,512,11008,bf16,1.0,1.0,0.372346,108.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,512,11008,bf16,1.0,1.0,0.208410,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,512,11008,bf16,1.0,1.0,0.484963,164.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,512,11008,bf16,1.0,1.0,0.087927,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,512,11008,bf16,1.0,1.0,0.067363,76.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,512,11008,bf16,1.0,1.0,0.394247,87.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,512,11008,bf16,1.0,1.0,0.087803,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,512,11008,bf16,1.0,1.0,0.077408,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,512,11008,bf16,1.0,1.0,0.410246,109.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,bf16,0.7,1.3,0.171079,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,bf16,0.7,1.3,0.501634,163.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,bf16,0.7,1.3,0.089989,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,bf16,0.7,1.3,0.068992,75.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,bf16,0.7,1.3,0.382011,86.500,20,50
