device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,bf16,1.0,1.0,0.173003,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,bf16,1.0,1.0,0.388115,163.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,bf16,1.0,1.0,0.092196,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,bf16,1.0,1.0,0.070843,75.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,bf16,1.0,1.0,0.314982,86.500,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,512,11008,bf16,1.0,1.0,0.093585,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,512,11008,bf16,1.0,1.0,0.082085,97.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,512,11008,bf16,1.0,1.0,0.301021,108.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,512,11008,bf16,1.0,1.0,0.212824,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,512,11008,bf16,1.0,1.0,0.486020,164.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,512,11008,bf16,1.0,1.0,0.093793,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,512,11008,bf16,1.0,1.0,0.068867,76.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,512,11008,bf16,1.0,1.0,0.286655,87.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,512,11008,bf16,1.0,1.0,0.103177,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,512,11008,bf16,1.0,1.0,0.077330,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,512,11008,bf16,1.0,1.0,0.297249,109.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,512,11008,bf16,1.0,1.0,0.088489,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,512,11008,bf16,1.0,1.0,0.291110,86.500,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,bf16,0.7,1.3,0.159032,98.250,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,bf16,0.7,1.3,0.446019,163.750,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,bf16,0.7,1.3,0.102155,65.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,bf16,0.7,1.3,0.069808,75.750,20,50
