device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,fp16,0.7,1.3,0.170357,98.250,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,fp16,0.7,1.3,0.381050,163.750,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,fp16,0.7,1.3,0.093520,65.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,fp16,0.7,1.3,0.072990,75.750,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,fp16,0.7,1.3,0.332955,86.500,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,512,11008,fp16,0.7,1.3,0.092907,65.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,512,11008,fp16,0.7,1.3,0.084111,97.250,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,512,11008,fp16,0.7,1.3,0.392481,108.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,512,11008,fp16,0.7,1.3,0.207314,98.250,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,512,11008,fp16,0.7,1.3,0.490564,164.250,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,512,11008,fp16,0.7,1.3,0.091061,65.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,512,11008,fp16,0.7,1.3,0.068476,76.250,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,512,11008,fp16,0.7,1.3,0.342623,87.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,512,11008,fp16,0.7,1.3,0.078854,65.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,512,11008,fp16,0.7,1.3,0.076633,98.250,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,512,11008,fp16,0.7,1.3,0.359690,109.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,512,11008,fp16,0.7,1.3,0.114121,75.750,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,512,11008,fp16,0.7,1.3,0.333986,97.250,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,2048,11008,fp16,0.7,1.3,1.204331,774.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,2048,11008,fp16,0.7,1.3,2.652853,1290.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,2048,11008,fp16,0.7,1.3,0.220190,516.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,2048,11008,fp16,0.7,1.3,0.313142,602.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,2048,11008,fp16,0.7,1.3,0.528186,688.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,2048,11008,fp16,0.7,1.3,0.215582,516.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,2048,11008,fp16,0.7,1.3,0.309481,774.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,2048,11008,fp16,0.7,1.3,0.545414,860.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,2048,11008,fp16,0.7,1.3,1.224991,774.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,2048,11008,fp16,0.7,1.3,3.009370,1290.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,2048,11008,fp16,0.7,1.3,0.212651,516.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,2048,11008,fp16,0.7,1.3,0.298431,602.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,fp16,0.7,1.3,0.507697,688.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,2048,11008,fp16,0.7,1.3,0.212209,516.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,2048,11008,fp16,0.7,1.3,0.297410,774.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,2048,11008,fp16,0.7,1.3,0.505628,860.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,2048,11008,fp16,0.7,1.3,0.316447,602.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,2048,11008,fp16,0.7,1.3,0.722743,774.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,4,2048,11008,fp16,0.7,1.3,2.225538,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,4,2048,11008,fp16,0.7,1.3,4.948554,2580.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,4,2048,11008,fp16,0.7,1.3,0.373487,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,4,2048,11008,fp16,0.7,1.3,0.585808,1204.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,4,2048,11008,fp16,0.7,1.3,0.931782,1376.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,4,2048,11008,fp16,0.7,1.3,0.367403,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,4,2048,11008,fp16,0.7,1.3,0.567979,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,4,2048,11008,fp16,0.7,1.3,0.917582,1720.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,4,2048,11008,fp16,0.7,1.3,2.395847,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,4,2048,11008,fp16,0.7,1.3,5.932410,2580.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,4,2048,11008,fp16,0.7,1.3,0.369762,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,4,2048,11008,fp16,0.7,1.3,0.571728,1204.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,4,2048,11008,fp16,0.7,1.3,0.916038,1376.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,4,2048,11008,fp16,0.7,1.3,0.362948,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,4,2048,11008,fp16,0.7,1.3,0.546457,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,4,2048,11008,fp16,0.7,1.3,0.895899,1720.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,4,2048,11008,fp16,0.7,1.3,0.579943,1204.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,4,2048,11008,fp16,0.7,1.3,1.339154,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,7,11009,fp16,0.7,1.3,0.102567,2.648,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,7,11009,fp16,0.7,1.3,0.317526,4.415,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,7,11009,fp16,0.7,1.3,0.090117,1.766,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,7,11009,fp16,0.7,1.3,0.058009,2.061,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,7,11009,fp16,0.7,1.3,0.292447,2.355,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,7,11009,fp16,0.7,1.3,0.089963,1.766,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,7,11009,fp16,0.7,1.3,0.068369,2.649,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,7,11009,fp16,0.7,1.3,0.310012,2.944,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,7,11009,fp16,0.7,1.3,0.106785,2.648,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,7,11009,fp16,0.7,1.3,0.406065,4.414,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,7,11009,fp16,0.7,1.3,0.090949,1.766,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,7,11009,fp16,0.7,1.3,0.055751,2.060,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,7,11009,fp16,0.7,1.3,0.286346,2.354,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,7,11009,fp16,0.7,1.3,0.089750,1.766,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,7,11009,fp16,0.7,1.3,0.064412,2.648,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,7,11009,fp16,0.7,1.3,0.296260,2.943,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,7,11009,fp16,0.7,1.3,0.115034,2.061,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,7,11009,fp16,0.7,1.3,0.494076,2.649,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,128,32768,fp16,0.7,1.3,0.172789,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,128,32768,fp16,0.7,1.3,0.518927,120.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,128,32768,fp16,0.7,1.3,0.093214,48.000,10,30
